date,precipitation (mm),temperature (°C),potential evapotranspiration (mm),flow (m³/s),suspended sediment (mg/L),total phosphorus (mg/L),nitrate (mg/L)
2002-01-01,1.30767,-0.83878,0.00721,160.21500,31.48050,0.17414,13.47850
2002-01-02,4.28769,6.53176,0.09125,168.28000,31.93450,0.17132,12.64900
2002-01-03,1.96220,8.08962,0.18201,155.76000,29.74050,0.17762,12.71950
2002-01-04,2.18804,6.51709,0.12575,146.54500,27.73250,0.18229,12.76300
2002-01-05,1.66198,7.24582,0.18461,136.36500,25.83450,0.18791,12.63450
2002-01-06,1.08084,6.38531,0.01350,125.19600,23.77200,0.19390,12.48750
2002-01-07,0.50188,6.78444,0.24187,114.61450,21.73050,0.19976,12.05450
2002-01-08,3.46688,7.92891,0.44460,120.65750,22.66400,0.19614,11.13860
2002-01-09,10.06474,5.31523,0.18370,178.32000,29.90250,0.17489,9.53045
2002-01-10,3.64679,6.99320,0.00678,178.47500,29.26550,0.17905,10.34295
2002-01-11,11.84680,9.60747,0.23332,244.21500,36.86450,0.16342,9.45880
2002-01-12,7.22834,9.51172,0.24901,260.34500,39.42500,0.16248,10.11670
2002-01-13,0.03737,7.63706,0.47463,224.42500,36.28250,0.17052,11.67705
2002-01-14,1.73819,9.81933,0.65321,203.32500,34.39350,0.17522,12.49100
2002-01-15,0.02566,3.62111,0.00019,182.20500,31.28050,0.18053,13.04400
2002-01-16,0.16046,5.75715,0.12846,165.93000,28.65300,0.18474,12.76950
2002-01-17,0.01064,5.17040,0.00014,152.88000,26.09900,0.18900,12.68250
2002-01-18,0.01677,3.60335,0.01943,142.12000,23.93950,0.19240,12.44900
2002-01-19,0.01572,3.49434,0.07779,133.01000,22.10200,0.19572,12.03950
2002-01-20,0.00583,2.47425,0.06781,125.08250,20.47300,0.19881,11.60000
2002-01-21,0.00065,0.89481,0.14384,118.05600,19.12900,0.20111,11.25085
2002-01-22,0.00190,1.15077,0.23275,111.76100,17.81750,0.20345,10.88865
2002-01-23,0.35367,2.28079,0.24162,106.27450,16.39400,0.20582,10.54525
2002-01-24,0.48385,3.64622,0.13805,101.38550,15.85050,0.20716,10.22905
2002-01-25,0.04358,4.62764,0.19431,96.40800,14.88500,0.20888,9.95285
2002-01-26,0.01129,5.89201,0.01473,91.76000,14.07805,0.21089,9.70030
2002-01-27,0.00644,4.98571,0.21926,87.45900,13.23310,0.21300,9.56540
2002-01-28,0.00000,0.60915,0.01812,83.45350,12.76865,0.21534,9.67280
2002-01-29,0.01732,-0.40733,0.08580,79.71300,12.01185,0.21665,9.68035
2002-01-30,0.04716,0.12332,0.08619,76.20250,11.39860,0.21926,9.63135
2002-01-31,0.02173,1.59969,0.18476,72.89600,10.87840,0.22077,9.47210
2002-02-01,0.01165,0.79773,0.08852,69.77400,10.47540,0.22167,9.38735
2002-02-02,0.10588,0.49542,0.17709,66.83250,10.01250,0.22425,9.33895
2002-02-03,0.03686,1.58762,0.16950,64.03250,9.74355,0.22592,9.21710
2002-02-04,0.10390,4.98503,0.21401,61.38950,9.26185,0.22824,8.93145
2002-02-05,0.07031,5.85642,0.38191,58.86750,8.83045,0.23096,8.74505
2002-02-06,1.99051,6.58154,0.43788,61.21900,9.75565,0.22711,8.44710
2002-02-07,0.50099,5.91734,0.34629,59.52300,9.28130,0.22979,8.65110
2002-02-08,11.38420,3.60585,0.11955,110.94850,18.69650,0.18946,7.22155
2002-02-09,0.57447,0.73583,0.81566,103.97700,16.25100,0.20064,9.13895
2002-02-10,4.54475,3.55961,0.26642,115.40400,18.91750,0.19681,9.08325
2002-02-11,0.23337,5.06335,0.67021,103.99450,17.19050,0.20505,9.97170
2002-02-12,0.35749,2.88528,0.45977,93.57750,16.12900,0.21085,10.41695
2002-02-13,0.07297,3.00475,0.73272,84.92050,14.80200,0.21516,10.44975
2002-02-14,2.21056,0.89693,0.14287,84.62450,15.23400,0.21276,10.20525
2002-02-15,0.21214,3.06088,0.24692,78.70600,14.10980,0.21754,10.21785
2002-02-16,0.07414,3.42366,0.45220,73.03400,13.28900,0.22197,10.11760
2002-02-17,2.65372,4.42497,0.11949,76.71800,14.35250,0.21687,9.53630
2002-02-18,0.10412,5.37291,0.40617,72.45900,13.09235,0.22160,9.70800
2002-02-19,0.03824,4.42186,0.53450,67.75100,12.38190,0.22601,9.73635
2002-02-20,0.33021,3.23581,0.14351,63.67800,11.73440,0.22909,9.71660
2002-02-21,8.04572,6.81816,0.10206,90.86600,17.22300,0.20352,8.46395
2002-02-22,0.91714,5.62845,0.21492,86.26750,15.23050,0.21049,9.30345
2002-02-23,0.34071,4.87035,0.29193,78.48250,14.33650,0.21805,9.62940
2002-02-24,5.59369,7.48199,0.28458,89.21200,17.19700,0.20737,9.18095
2002-02-25,8.11264,9.04243,0.07790,118.12000,21.60150,0.18901,8.29085
2002-02-26,0.81159,6.73414,0.28356,106.21950,18.81000,0.19719,9.41635
2002-02-27,1.10132,7.62875,0.45600,95.16900,17.72000,0.20281,9.79650
2002-02-28,3.50571,10.03019,0.61000,95.91850,18.62050,0.19910,9.39835
2002-03-01,4.62384,9.37312,0.51712,107.61150,20.17650,0.19048,8.81760
2002-03-02,1.10880,7.66968,0.86470,99.00450,18.44400,0.19541,9.68635
2002-03-03,0.24956,3.87842,0.98608,89.03050,17.02050,0.20026,10.21270
2002-03-04,1.95114,3.73190,0.96391,86.10600,16.96750,0.20012,10.12045
2002-03-05,7.46046,2.17601,0.69384,110.78600,20.83850,0.18318,9.35700
2002-03-06,1.88650,1.72009,1.22409,106.30500,19.34350,0.18671,10.03960
2002-03-07,3.38830,1.11017,0.71297,109.72000,19.92600,0.18516,10.00550
2002-03-08,0.54858,1.89950,0.56164,99.40450,18.43400,0.19128,10.49305
2002-03-09,3.51969,2.59697,0.43507,104.64150,19.39050,0.18717,10.00560
2002-03-10,0.29253,3.78278,0.98954,95.72900,17.54150,0.19283,10.36730
2002-03-11,9.16640,3.54428,0.96949,140.79900,23.90850,0.17042,8.60860
2002-03-12,8.99339,8.33461,0.12569,187.12000,28.43800,0.15837,8.30130
2002-03-13,7.21870,4.96755,0.26615,211.13500,31.31200,0.15425,9.06385
2002-03-14,0.00000,6.65108,0.19592,182.70000,28.67000,0.16134,10.58730
2002-03-15,5.23197,3.38013,1.17717,191.09000,30.17650,0.15679,10.84615
2002-03-16,2.46165,4.64094,1.70188,179.28500,28.79900,0.15897,11.42725
2002-03-17,0.00000,2.30380,1.38649,159.97000,25.99200,0.16345,11.96050
2002-03-18,0.00285,2.08496,1.15120,144.79500,23.68300,0.16745,12.01550
2002-03-19,0.03227,2.62852,0.87573,132.87000,21.85900,0.17175,11.86400
2002-03-20,1.36814,2.45511,1.18194,126.29000,20.85900,0.17422,11.57500
2002-03-21,3.95053,7.94011,0.25435,137.11500,21.99150,0.16963,10.44630
2002-03-22,1.78116,7.67005,0.29141,132.83000,20.95800,0.17269,10.45935
2002-03-23,0.51792,4.71570,0.90235,123.12500,19.43750,0.17686,10.55935
2002-03-24,1.06136,2.51112,0.72809,115.79250,18.46800,0.18033,10.53635
2002-03-25,0.05893,4.06917,0.87988,107.89500,16.97550,0.18412,10.31035
2002-03-26,0.00755,4.19098,1.15447,101.10150,15.83350,0.18726,10.08945
2002-03-27,6.68475,5.02846,0.36704,133.37350,20.58750,0.17086,8.63830
2002-03-28,0.44928,9.49705,0.42575,125.06500,18.53250,0.17706,9.25625
2002-03-29,0.43154,8.66898,2.07646,115.37900,17.63100,0.18131,9.55550
2002-03-30,0.00968,6.78985,1.78591,106.66300,16.07250,0.18480,9.69190
2002-03-31,8.30601,7.37076,0.65145,150.71000,21.70150,0.16430,8.14900
2002-04-01,0.74637,5.75772,1.14647,139.61500,19.92700,0.17079,9.18210
2002-04-02,0.08008,6.45026,1.79905,126.73500,18.68650,0.17592,9.71130
2002-04-03,0.64385,8.13381,1.62890,116.76300,17.86000,0.17891,9.73915
2002-04-04,0.00066,8.28043,2.50215,107.99050,16.59200,0.18228,9.65230
2002-04-05,0.04863,7.42199,1.24697,100.74200,15.42850,0.18547,9.55555
2002-04-06,0.05541,7.64774,1.45259,94.61600,14.39750,0.18776,9.43425
2002-04-07,3.08474,8.29173,1.01224,101.56000,15.70250,0.18220,8.91645
2002-04-08,0.11591,6.18735,1.33972,96.22050,14.35290,0.18586,9.23280
2002-04-09,3.60594,4.75024,0.91434,106.05800,16.20900,0.18033,8.87650
2002-04-10,1.49373,6.67531,1.11184,103.23750,15.59100,0.18290,9.13955
2002-04-11,0.68821,7.02871,0.50468,96.72850,14.57350,0.18778,9.27295
2002-04-12,0.04555,9.08790,2.49965,90.02650,13.68480,0.19119,9.11510
2002-04-13,0.22238,8.14296,1.07758,84.35450,12.67495,0.19417,9.05195
2002-04-14,0.13242,8.05326,1.31050,79.43850,11.68220,0.19746,8.97440
2002-04-15,0.77614,9.21325,1.38304,75.91650,11.70515,0.20011,8.83170
2002-04-16,0.19513,8.02144,1.69664,72.06400,11.01530,0.20387,8.80900
2002-04-17,0.00028,8.97976,2.24411,68.44650,10.50830,0.20756,8.68055
2002-04-18,0.00032,7.94278,1.30783,65.16150,10.41625,0.20997,8.64535
2002-04-19,0.11756,8.11548,1.25013,62.19300,9.81905,0.21293,8.56320
2002-04-20,0.10511,10.03150,2.75640,59.45750,9.21680,0.21612,8.36570
2002-04-21,0.05313,9.17584,1.82540,56.90100,8.89545,0.21905,8.28635
2002-04-22,0.00248,9.93546,2.49075,54.50500,8.50505,0.22140,8.17715
2002-04-23,1.87828,8.78698,1.43412,56.35000,9.33060,0.21940,7.98370
2002-04-24,1.23770,4.94154,2.50283,56.30550,9.24505,0.22135,8.26265
2002-04-25,1.15269,5.49704,2.34697,55.34350,9.21580,0.22324,8.36340
2002-04-26,0.05233,6.12294,2.77437,52.62300,8.53815,0.22768,8.35230
2002-04-27,0.00955,7.98293,2.36393,49.84650,8.17310,0.23214,8.19570
2002-04-28,0.00943,10.76058,2.76998,47.30100,7.87080,0.23533,7.92660
2002-04-29,0.50870,11.17581,3.17470,45.30300,7.83310,0.23855,7.73940
2002-04-30,0.50744,13.75748,2.01908,43.51550,7.68255,0.24006,7.45050
2002-05-01,1.53007,13.99305,2.26980,43.92200,8.22485,0.23899,7.13490
2002-05-02,1.83910,11.17973,1.00370,45.83050,8.72230,0.23593,7.10765
2002-05-03,0.11701,9.97863,3.24633,44.24000,7.98560,0.23950,7.40195
2002-05-04,0.15813,9.19609,3.31188,42.02200,7.70150,0.24460,7.60285
2002-05-05,0.62789,10.37733,2.53441,40.21200,7.79485,0.24812,7.56775
2002-05-06,0.56714,11.81618,2.82674,38.51800,7.69045,0.25173,7.36460
2002-05-07,0.14984,11.25484,3.10478,36.64300,7.37990,0.25517,7.32260
2002-05-08,0.00179,9.82948,2.46536,34.82350,7.02900,0.25883,7.36105
2002-05-09,2.30960,11.22655,2.12152,37.29500,8.38970,0.25248,6.89800
2002-05-10,1.14081,9.61685,2.76800,37.73250,8.30460,0.25179,7.14225
2002-05-11,0.00312,9.43941,2.66590,36.15050,7.66050,0.25565,7.33880
2002-05-12,3.74261,10.27515,0.91787,42.38850,9.98440,0.24343,6.84360
2002-05-13,0.00871,9.72817,3.00779,41.39950,8.73050,0.24696,7.26000
2002-05-14,0.00083,11.50774,2.96725,38.87300,8.38750,0.25353,7.34575
2002-05-15,1.71479,10.86720,2.35685,39.06700,9.35775,0.25370,7.21245
2002-05-16,0.33856,10.61025,2.89793,37.27000,8.87840,0.25802,7.38240
2002-05-17,4.05155,10.16342,0.70767,42.57000,11.16150,0.24653,7.26730
2002-05-18,3.83272,12.23916,2.89281,48.69250,12.25390,0.23747,7.13330
2002-05-19,6.94639,10.18248,2.57038,64.81950,15.60950,0.21872,7.04860
2002-05-20,0.69607,12.74140,1.65292,59.63400,13.57150,0.22789,7.33635
2002-05-21,4.38456,10.44963,1.92515,64.71050,15.73600,0.22304,7.25855
2002-05-22,0.51215,11.17186,2.11591,58.36900,14.32800,0.23109,7.66270
2002-05-23,0.02062,12.73623,3.89849,51.63000,13.50000,0.23908,7.68335
2002-05-24,4.20494,13.40803,3.68369,55.07650,15.57450,0.23101,7.41220
2002-05-25,16.69063,10.57832,0.41682,111.73000,24.84200,0.18186,6.88795
2002-05-26,0.00000,11.99318,2.05025,95.86650,20.18250,0.19435,7.53980
2002-05-27,10.77667,9.25674,0.36646,124.73850,25.72200,0.17671,6.92340
2002-05-28,2.28740,11.73539,1.68631,111.87650,23.27800,0.18302,7.54890
2002-05-29,0.52916,11.08362,1.77155,93.56300,20.75500,0.19085,8.16715
2002-05-30,0.15750,12.54947,2.40100,79.00450,19.22200,0.19770,8.31475
2002-05-31,0.20683,10.74950,1.60572,68.05800,17.88300,0.20339,8.44355
2002-06-01,0.00000,11.27914,3.68920,59.64150,16.76400,0.20868,8.40475
2002-06-02,0.00009,15.41176,4.15053,53.08750,15.68100,0.21388,7.98955
2002-06-03,0.24357,14.88027,4.34526,47.95650,14.92150,0.21906,7.79905
2002-06-04,9.34756,12.82110,1.25556,71.02750,19.49550,0.19136,7.40015
2002-06-05,1.37089,13.99441,2.89117,68.13850,17.05400,0.19753,7.65795
2002-06-06,1.16292,13.56632,1.66523,61.91850,16.22550,0.20605,7.84050
2002-06-07,1.80074,13.96930,2.63459,57.94450,15.94600,0.21092,7.78175
2002-06-08,3.41751,13.29751,2.26989,59.13350,16.84850,0.20956,7.72945
2002-06-09,6.08633,13.39258,3.09967,69.78100,18.88250,0.19862,7.63795
2002-06-10,2.72133,12.45186,1.87519,68.91650,17.77600,0.20201,7.79230
2002-06-11,3.41968,11.60028,1.82311,69.07300,17.97350,0.20217,7.95610
2002-06-12,5.13896,11.75778,1.84296,76.51300,19.35700,0.19537,7.82865
2002-06-13,0.54814,13.17014,3.36506,67.96700,17.22700,0.20384,8.16735
2002-06-14,2.65103,10.73578,1.05468,66.19450,17.66850,0.20514,8.25435
2002-06-15,0.95259,14.06873,3.68264,59.89950,16.51750,0.21091,8.28410
2002-06-16,4.07483,12.21132,0.58603,62.85050,17.73350,0.20651,8.21565
2002-06-17,5.66043,13.05499,0.42725,77.87700,19.66550,0.19324,7.38395
2002-06-18,0.12263,13.33529,1.98977,70.57950,17.28700,0.20114,8.26380
2002-06-19,0.11315,14.49286,3.76723,62.55450,16.19200,0.20922,8.47360
2002-06-20,0.14646,13.89293,3.31929,55.81950,15.29900,0.21542,8.50935
2002-06-21,0.62822,15.76962,3.37162,50.73750,14.76400,0.22078,8.27355
2002-06-22,0.00238,15.18143,4.25702,46.18950,13.73765,0.22648,8.12670
2002-06-23,0.31966,16.27217,2.56825,42.46700,13.34050,0.23150,7.87345
2002-06-24,4.70941,14.67793,1.00218,50.72550,15.37200,0.21770,7.48890
2002-06-25,1.07939,13.14705,1.35404,49.82850,14.00305,0.22133,7.99720
2002-06-26,1.83073,13.68291,2.47135,49.61250,14.02000,0.22314,8.02155
2002-06-27,0.01140,14.01431,3.55650,45.91600,12.84485,0.23023,8.18370
2002-06-28,0.00800,13.74704,3.51586,42.07150,12.24710,0.23694,8.18430
2002-06-29,0.91105,14.29256,3.25622,39.35800,12.19515,0.24135,8.02260
2002-06-30,4.99231,14.01533,1.78580,46.73500,14.50950,0.22779,7.73435
2002-07-01,3.16248,12.32117,2.26666,50.76350,14.46900,0.22456,7.86400
2002-07-02,5.49534,12.51503,0.72988,61.70750,16.62600,0.21437,7.77040
2002-07-03,0.30389,14.50215,1.64639,56.35350,14.67500,0.22348,8.10790
2002-07-04,0.29115,13.75164,2.05303,50.04200,13.76700,0.23322,8.26505
2002-07-05,6.49433,14.64213,0.36519,69.79700,17.91900,0.20911,6.91375
2002-07-06,0.12383,16.36325,3.34913,65.27300,15.71750,0.21723,8.13420
2002-07-07,0.24910,15.18029,2.13664,58.63850,14.84000,0.22522,8.75795
2002-07-08,0.52955,14.65367,1.77490,52.97250,14.26300,0.23186,8.88680
2002-07-09,0.01003,15.88146,4.17353,47.89300,13.42550,0.23719,8.67550
2002-07-10,0.00004,18.23900,4.51973,43.60550,12.72460,0.24286,8.22935
2002-07-11,0.07216,15.54137,2.24585,40.00700,12.35605,0.24766,8.18455
2002-07-12,0.00115,14.54046,3.36072,36.94700,11.66025,0.25234,8.13630
2002-07-13,0.98090,15.19766,1.13560,35.03900,15.31705,0.25715,7.95620
2002-07-14,0.28191,15.68223,1.42494,32.92250,12.88420,0.25997,7.73075
2002-07-15,0.02419,18.18101,3.79643,30.81400,11.73025,0.26459,7.33945
2002-07-16,0.00012,16.03773,3.49298,28.85700,10.88540,0.26908,7.26430
2002-07-17,0.00989,15.72602,2.94000,27.07950,10.32695,0.27368,7.20075
2002-07-18,0.13484,17.01983,2.47105,25.49000,9.91070,0.27822,6.98965
2002-07-19,0.09292,16.82703,2.25972,24.04350,9.53180,0.28237,6.84985
2002-07-20,0.00005,15.02036,3.34809,22.71000,9.13825,0.28645,6.86950
2002-07-21,0.00014,13.92821,4.08137,21.47500,8.91810,0.29010,6.90170
2002-07-22,1.63614,13.97718,1.85425,21.61500,9.62550,0.28884,6.80995
2002-07-23,4.22976,15.89549,2.40024,26.81100,11.61610,0.27286,6.63005
2002-07-24,8.18772,13.97985,0.60327,48.26000,15.60650,0.23673,6.58195
2002-07-25,1.03731,15.16920,2.41321,47.75750,13.22630,0.24751,7.62495
2002-07-26,0.35662,14.40721,2.21306,42.90550,12.32035,0.26445,8.10190
2002-07-27,0.01126,14.91427,3.53754,37.96700,11.74985,0.27764,8.09055
2002-07-28,0.37747,16.82832,3.91836,33.82450,11.65345,0.28815,7.73205
2002-07-29,0.11903,17.05983,2.73430,30.23250,11.31525,0.29591,7.43495
2002-07-30,1.88455,14.96667,2.23390,29.14200,12.14395,0.29610,7.31380
2002-07-31,1.26972,16.78341,3.38569,28.08550,11.80445,0.29685,7.14500
2002-08-01,6.64527,14.79213,0.64037,43.62500,15.56550,0.26149,6.61345
2002-08-02,0.22046,16.25156,3.16725,43.37200,13.27080,0.26836,8.06675
2002-08-03,0.03773,17.26050,3.07985,39.52800,12.54265,0.28065,8.46675
2002-08-04,0.00056,16.97943,3.88214,35.53550,12.08040,0.29153,8.46795
2002-08-05,0.43227,15.91397,2.83464,32.18450,11.99920,0.29903,8.34765
2002-08-06,0.00936,18.27135,2.92525,29.17800,11.53040,0.30542,7.89325
2002-08-07,0.00000,17.09266,2.87995,26.57050,11.23245,0.31049,7.67360
2002-08-08,0.00013,17.16932,3.71741,24.31800,10.92225,0.31482,7.43165
2002-08-09,0.09955,18.52668,3.98203,22.37450,10.69810,0.31836,7.09425
2002-08-10,0.16873,18.28446,2.62945,20.69250,10.52560,0.32152,6.86300
2002-08-11,0.00182,19.04738,3.32531,19.19550,10.25105,0.32427,6.59580
2002-08-12,0.15346,17.27714,1.76522,17.87050,10.18890,0.32724,6.55225
2002-08-13,0.00001,15.75387,2.60672,16.67280,9.99125,0.32944,6.59380
2002-08-14,0.00000,20.46811,4.10025,15.58235,10.10250,0.33116,6.13045
2002-08-15,0.03860,22.30524,4.45745,14.58785,9.78640,0.33288,5.72355
2002-08-16,0.79070,17.54084,2.20136,13.92105,10.12500,0.33313,5.86745
2002-08-17,8.44641,15.88010,1.00354,25.88905,14.82950,0.27699,5.92225
2002-08-18,24.06087,15.80322,0.67958,123.87400,27.87950,0.18217,5.71505
2002-08-19,0.74481,15.65761,1.02136,107.21300,23.21050,0.21000,8.33125
2002-08-20,0.42858,15.60887,2.50964,87.46200,21.46500,0.23195,9.33485
2002-08-21,0.18004,13.15737,2.45693,71.13150,19.90850,0.24594,9.72075
2002-08-22,1.48887,16.67969,1.80178,61.17650,19.29450,0.25267,9.16895
2002-08-23,0.67746,16.14236,3.17805,52.02600,17.81850,0.25941,8.95915
2002-08-24,0.16964,14.14013,3.03552,44.33250,16.60750,0.26545,8.88510
2002-08-25,0.03802,13.83149,2.65179,38.18700,15.57850,0.27087,8.68685
2002-08-26,0.19470,14.63764,1.96521,33.32850,14.99950,0.27586,8.33320
2002-08-27,0.29558,16.41799,2.16155,29.46900,14.47700,0.28059,7.86035
2002-08-28,0.00419,17.07434,2.97170,26.25700,13.91185,0.28518,7.46150
2002-08-29,0.00000,18.04005,3.34458,23.57150,13.46340,0.29021,7.09070
2002-08-30,0.01471,15.81858,1.98993,21.30300,13.12910,0.29475,7.01895
2002-08-31,0.00102,15.07429,2.80849,19.36600,12.84340,0.29910,6.96900
2002-09-01,0.00241,15.82759,2.42307,17.69450,12.58990,0.30306,6.79865
2002-09-02,7.24956,14.99566,0.82178,26.87400,16.06650,0.26499,6.59980
2002-09-03,7.36331,13.85927,2.76975,45.10500,17.53450,0.23479,6.95095
2002-09-04,8.86843,12.97914,2.22644,68.89400,20.66700,0.21639,7.38860
2002-09-05,0.02773,14.03152,2.09907,60.42800,17.28000,0.23467,8.42530
2002-09-06,1.40470,14.40043,1.14988,52.98250,17.09950,0.24887,8.64930
2002-09-07,2.45224,14.63005,1.60029,50.74350,17.58200,0.25234,8.35310
2002-09-08,1.41665,15.29683,2.20663,46.35150,16.97200,0.25835,8.63885
2002-09-09,0.00186,14.39481,2.08883,40.37600,15.74600,0.26694,8.87945
2002-09-10,0.00942,14.08244,2.23215,35.10950,14.99750,0.27506,8.78385
2002-09-11,0.17055,15.06908,1.94083,30.78350,14.58750,0.28200,8.41320
2002-09-12,0.00464,12.63258,1.71882,27.20900,14.02565,0.28775,8.32445
2002-09-13,0.01998,13.36758,1.72036,24.24300,13.73265,0.29303,8.05945
2002-09-14,0.00382,14.36144,2.35839,21.76100,13.41315,0.29774,7.71135
2002-09-15,0.15779,16.12983,2.15302,19.67800,13.28125,0.30244,7.28715
2002-09-16,0.49629,14.99567,2.14610,18.01600,13.26015,0.30631,7.12580
2002-09-17,2.67855,13.11545,0.13073,19.30700,14.42270,0.29653,6.94020
2002-09-18,0.06968,12.75226,1.30571,19.19650,12.97360,0.29610,7.48395
2002-09-19,0.14153,12.02464,1.77045,18.27450,12.63540,0.30218,7.72020
2002-09-20,0.86073,10.92477,1.30584,17.35210,12.91300,0.30768,7.77020
2002-09-21,0.39199,11.28472,1.61379,16.20915,12.66735,0.31309,7.64155
2002-09-22,0.87900,14.08940,1.18063,15.29680,12.91860,0.31674,7.24675
2002-09-23,2.97093,12.33304,0.59049,17.10115,14.18250,0.30474,6.96385
2002-09-24,0.66488,13.26215,0.65130,17.46340,13.16605,0.30365,7.30420
2002-09-25,0.28623,13.22255,0.84274,16.71620,12.63500,0.30960,7.41085
2002-09-26,0.68135,14.00562,1.00793,15.71550,12.74895,0.31609,7.28320
2002-09-27,1.18311,12.79679,0.42279,15.09705,13.15370,0.31923,7.15245
2002-09-28,0.85247,12.31826,0.42014,14.37930,13.15320,0.32216,7.16400
